row_id,order_id,created_at,item_id,quantity,cust_name,in_or_out
1,ORD001,"2024-02-12 07:04:19",It008,1,Alex,out
2,ORD002,"2024-02-12 07:09:38",It014,1,Jordan,in
3,ORD003,"2024-02-12 07:14:29",It008,1,Taylor,out
4,ORD004,"2024-02-12 07:18:39",It019,1,Casey,out
5,ORD005,"2024-02-12 07:23:44",It024,1,Jamie,out
6,ORD006,"2024-02-12 07:28:20",It001,1,Morgan,in
7,ORD006,"2024-02-12 07:28:20",It016,1,Morgan,in
8,ORD007,"2024-02-12 07:33:58",It005,1,Riley,out
9,ORD007,"2024-02-12 07:33:58",It020,1,Riley,
10,ORD008,"2024-02-12 07:39:02",It006,1,Cameron,in
11,ORD008,"2024-02-12 07:39:01",It018,1,Cameron,
12,ORD009,"2024-02-12 07:44:02",It023,1,Quinn,out
13,ORD009,"2024-02-12 07:44:03",It011,1,Quinn,
14,ORD010,"2024-02-12 07:49:04",It024,1,Peyton,out
15,ORD010,"2024-02-12 07:49:05",It014,1,Peyton,
16,ORD011,"2024-02-12 07:53:06",It003,1,Brooke,out
17,ORD012,"2024-02-12 07:58:07",It007,1,Blake,out
18,ORD013,"2024-02-12 08:03:08",It009,1,Charlie,in
19,ORD013,"2024-02-12 08:03:09",It021,1,Charlie,
20,ORD014,"2024-02-12 08:08:10",It012,1,Dakota,in
21,ORD014,"2024-02-12 08:08:11",It022,1,Dakota,
22,ORD015,"2024-02-12 08:12:12",It004,1,Emerson,out
23,ORD016,"2024-02-12 08:17:21",It002,1,Finley,out
24,ORD017,"2024-02-12 08:22:34",It001,1,Harper,in
25,ORD018,"2024-02-12 08:26:07",It014,1,Jordan,out
26,ORD019,"2024-02-12 08:31:45",It011,1,Kendall,in
27,ORD020,"2024-02-12 08:36:59",It017,1,Logan,out
28,ORD020,"2024-02-12 08:36:59",It020,1,Logan,
29,ORD021,"2024-02-12 08:41:38",It005,1,Morgan,out
30,ORD022,"2024-02-12 08:45:02",It006,1,Parker,in
31,ORD022,"2024-02-12 08:45:24",It014,1,Peyton,
32,ORD023,"2024-02-12 08:50:11",It008,1,Alex,out
33,ORD024,"2024-02-12 08:55:53",It016,1,Jordan,out
34,ORD025,"2024-02-12 09:00:46",It006,1,Taylor,out
35,ORD026,"2024-02-12 09:04:25",It019,1,Casey,in
36,ORD027,"2024-02-12 09:09:47",It009,1,Jamie,out
37,ORD028,"2024-02-12 09:14:32",It001,1,Morgan,in
38,ORD028,"2024-02-12 09:14:32",It016,1,Morgan,
39,ORD029,"2024-02-12 09:19:11",It005,1,Riley,in
40,ORD029,"2024-02-12 09:19:11",It020,1,Riley,
41,ORD029,"2024-02-12 09:19:11",It012,1,Riley,
42,ORD030,"2024-02-12 09:35:06",It004,1,Jordan,out
43,ORD031,"2024-02-12 09:48:39",It021,1,Harper,out
44,ORD032,"2024-02-12 10:02:18",It007,1,Casey,out
45,ORD033,"2024-02-12 10:17:45",It0010,1,Riley,out
46,ORD034,"2024-02-12 10:33:22",It017,1,Alex,in
47,ORD035,"2024-02-12 10:50:09",It009,1,Jamie,out
48,ORD036,"2024-02-12 11:08:56",It018,1,Taylor,out
49,ORD037,"2024-02-12 11:27:34",It005,1,Quinn,in
50,ORD037,"2024-02-12 11:27:34",It002,1,Quinn,
51,ORD038,"2024-02-12 12:08:22",It015,1,Peyton,in
52,ORD038,"2024-02-12 12:08:22",It003,1,Peyton,
53,ORD038,"2024-02-12 12:08:22",It016,1,Peyton,
54,ORD039,"2024-02-12 12:10:12",It005,1,Riley,out
55,ORD039,"2024-02-12 12:10:12",It020,1,Riley,
56,ORD040,"2024-02-12 12:11:03",It006,1,Cameron,out
57,ORD040,"2024-02-12 12:11:03",It018,1,Cameron,
58,ORD041,"2024-02-12 12:16:09",It023,1,Quinn,in
59,ORD041,"2024-02-12 12:16:09",It011,1,Quinn,
60,ORD041,"2024-02-12 12:16:09",It011,1,Quinn,
61,ORD042,"2024-02-12 12:18:14",It004,1,Taylor,out
62,ORD043,"2024-02-12 12:21:27",It022,1,Jamie,out
63,ORD044,"2024-02-12 12:23:39",It018,1,Riley,out
64,ORD045,"2024-02-12 12:26:05",It017,1,Alex,in
65,ORD046,"2024-02-12 12:29:17",It009,1,Casey,out
66,ORD047,"2024-02-12 12:32:29",It009,1,Brooke,out
67,ORD048,"2024-02-12 12:35:33",It012,1,Jordan,out
68,ORD049,"2024-02-12 12:38:46",It005,1,Peyton,in
69,ORD050,"2024-02-12 12:41:58",It019,1,Morgan,out
70,ORD051,"2024-02-12 12:44:11",It020,1,Harper,in
71,ORD052,"2024-02-12 12:47:24",It021,1,Cameron,out
72,ORD053,"2024-02-12 12:50:37",It014,1,Avery,in
73,ORD054,"2024-02-12 12:53:49",It016,1,Quinn,out
74,ORD055,"2024-02-12 12:56:15",It023,1,Taylor,out
75,ORD056,"2024-02-12 12:59:28",It020,1,Jamie,out
76,ORD057,"2024-02-12 13:02:42",It013,1,Riley,in
77,ORD058,"2024-02-12 13:05:54",It001,1,Alex,out
78,ORD059,"2024-02-12 13:08:06",It003,1,Casey,in
79,ORD060,"2024-02-12 13:11:19",It008,1,Brooke,out
80,ORD061,"2024-02-12 13:13:31",It002,1,Harper,in
81,ORD061,"2024-02-12 13:13:43",It007,1,Harper,
82,ORD062,"2024-02-12 13:15:56",It019,1,Jordan,out
83,ORD063,"2024-02-12 13:17:08",It021,1,Avery,out
84,ORD063,"2024-02-12 13:17:08",It005,1,Avery,
85,ORD063,"2024-02-12 13:17:08",It014,1,Avery,
86,ORD064,"2024-02-12 13:20:47",It004,1,Casey,in
87,ORD064,"2024-02-12 13:20:47",It003,1,Casey,
88,ORD065,"2024-02-12 13:22:12",It012,1,Taylor,out
89,ORD065,"2024-02-12 13:22:12",It009,1,Taylor,
90,ORD066,"2024-02-12 13:25:38",It018,1,Riley,out
91,ORD066,"2024-02-12 13:25:02",It022,1,Riley,
92,ORD067,"2024-02-12 13:27:14",It011,1,Jamie,out
93,ORD067,"2024-02-12 13:27:14",It015,1,Jamie,
94,ORD068,"2024-02-12 13:30:38",It006,1,Morgan,out
95,ORD068,"2024-02-12 13:30:38",It022,1,Morgan,
96,ORD069,"2024-02-12 13:32:57",It010,1,Quinn,out
97,ORD069,"2024-02-12 13:32:57",It024,1,Quinn,
98,ORD070,"2024-02-12 13:35:21",It001,1,Peyton,in
99,ORD070,"2024-02-12 13:35:21",It017,1,Peyton,
100,ORD078,"2024-02-12 13:55:45",It020,1,Alex,out
101,ORD079,"2024-02-12 14:05:16",It021,1,Harper,in
102,ORD080,"2024-02-12 14:17:28",It004,1,Taylor,out
103,ORD080,"2024-02-12 14:17:28",It013,1,Taylor,
104,ORD081,"2024-02-12 14:30:51",It018,1,Jordan,in
105,ORD082,"2024-02-12 14:45:04",It007,1,Casey,in
106,ORD082,"2024-02-12 14:45:04",It011,1,Casey,
107,ORD083,"2024-02-12 15:00:29",It013,1,Riley,out
108,ORD084,"2024-02-12 15:20:42",It009,1,Jamie,in
109,ORD084,"2024-02-12 15:20:42",It003,1,Jamie,
110,ORD085,"2024-02-12 15:40:08",It014,1,Morgan,out
111,ORD085,"2024-02-12 15:40:12",It022,1,Morgan,
112,ORD086,"2024-02-12 16:00:23",It005,1,Brooke,out
113,ORD087,"2024-02-12 16:25:34",It017,1,Avery,out
114,ORD088,"2024-02-12 16:50:45",It012,1,Quinn,out
115,ORD089,"2024-02-12 17:00:45",It001,1,Sam,out
116,ORD090,"2024-02-13 07:14:00",It002,1,Anna,out
117,ORD091,"2024-02-13 07:19:00",It004,1,Chris,in
118,ORD091,"2024-02-13 07:19:00",It028,1,Chris," "
119,ORD092,"2024-02-13 07:24:00",It017,1,Pat,out
120,ORD093,"2024-02-13 07:30:00",It023,1,Alex,in
121,ORD093,"2024-02-13 07:30:00",It011,1,Alex," "
122,ORD094,"2024-02-13 07:35:00",It006,1,Jordan,out
123,ORD095,"2024-02-13 07:40:00",It021,1,Taylor,in
124,ORD096,"2024-02-13 07:45:00",It015,1,Casey,out
125,ORD097,"2024-02-13 07:50:00",It008,1,Jamie,in
126,ORD097,"2024-02-13 07:50:00",It024,1,Jamie," "
127,ORD098,"2024-02-13 07:56:00",It001,1,Morgan,out
128,ORD099,"2024-02-13 08:01:00",It019,1,Riley,in
129,ORD100,"2024-02-13 08:06:00",It003,1,Cameron,out
130,ORD100,"2024-02-13 08:06:00",It027,1,Cameron," "
131,ORD101,"2024-02-13 08:11:00",It022,1,Quinn,in
132,ORD102,"2024-02-13 08:17:00",It018,1,Peyton,out
133,ORD103,"2024-02-13 08:22:00",It005,1,Brooke,in
134,ORD103,"2024-02-13 08:22:00",It012,1,Brooke," "
135,ORD104,"2024-02-13 08:27:00",It010,1,Sam,out
136,ORD105,"2024-02-13 08:32:00",It007,1,Alex,in
137,ORD106,"2024-02-13 08:38:00",It026,1,Pat,out
138,ORD106,"2024-02-13 08:38:00",It020,1,Pat," "
139,ORD107,"2024-02-13 08:43:00",It014,1,Chris,in
140,ORD108,"2024-02-13 08:48:00",It009,1,Jordan,out
141,ORD109,"2024-02-13 08:53:00",It002,1,Taylor,in
142,ORD109,"2024-02-13 08:53:00",It016,1,Taylor," "
143,ORD110,"2024-02-13 08:58:00",It013,1,Casey,out
144,ORD111,"2024-02-13 09:04:00",It025,1,Jamie,in
145,ORD112,"2024-02-13 09:09:00",It004,1,Morgan,out
146,ORD113,"2024-02-13 09:14:00",It021,1,Riley,in
147,ORD114,"2024-02-13 09:19:00",It006,1,Cameron,out
148,ORD115,"2024-02-13 09:25:00",It019,1,Quinn,in
149,ORD116,"2024-02-13 09:30:00",It003,1,Peyton,out
150,ORD117,"2024-02-13 09:35:00",It022,1,Brooke,in
151,ORD117,"2024-02-13 09:35:00",It012,1,Brooke," "
152,ORD118,"2024-02-13 09:40:00",It018,1,Sam,out
153,ORD119,"2024-02-13 09:46:00",It005,1,Alex,in
154,ORD120,"2024-02-13 09:51:00",It026,1,Pat,out
155,ORD121,"2024-02-13 09:56:00",It014,1,Chris,in
156,ORD122,"2024-02-13 10:01:00",It009,1,Jordan,out
157,ORD123,"2024-02-13 10:16:00",It027,1,Morgan,in
158,ORD124,"2024-02-13 10:31:00",It005,1,Casey,out
159,ORD125,"2024-02-13 10:45:00",It014,1,Riley,in
160,ORD125,"2024-02-13 10:45:00",It023,1,Riley," "
161,ORD126,"2024-02-13 11:00:00",It018,1,Jamie,out
162,ORD127,"2024-02-13 11:15:00",It002,1,Alex,in
163,ORD128,"2024-02-13 11:29:00",It011,1,Sam,out
164,ORD129,"2024-02-13 11:43:00",It026,1,Quinn,in
165,ORD129,"2024-02-13 11:43:00",It020,1,Quinn," "
166,ORD130,"2024-02-13 11:57:00",It008,1,Pat,out
167,ORD131,"2024-02-13 12:03:00",It022,1,Chris,in
168,ORD132,"2024-02-13 12:10:00",It004,1,Alex,out
169,ORD133,"2024-02-13 12:17:00",It015,1,Jordan,in
170,ORD134,"2024-02-13 12:24:00",It026,1,Morgan,out
171,ORD134,"2024-02-13 12:24:00",It018,1,Morgan," "
172,ORD135,"2024-02-13 12:31:00",It007,1,Taylor,in
173,ORD136,"2024-02-13 12:38:00",It020,1,Casey,out
174,ORD137,"2024-02-13 12:45:00",It003,1,Jamie,in
175,ORD138,"2024-02-13 12:52:00",It016,1,Riley,out
176,ORD139,"2024-02-13 12:59:00",It009,1,Cameron,in
177,ORD139,"2024-02-13 12:59:00",It025,1,Cameron," "
178,ORD140,"2024-02-13 13:06:00",It012,1,Quinn,out
179,ORD141,"2024-02-13 13:13:00",It001,1,Peyton,in
180,ORD142,"2024-02-13 13:20:00",It019,1,Brooke,out
181,ORD143,"2024-02-13 13:27:00",It005,1,Sam,in
182,ORD143,"2024-02-13 13:27:00",It011,1,Sam," "
183,ORD144,"2024-02-13 13:34:00",It028,1,Pat,out
184,ORD145,"2024-02-13 13:41:00",It010,1,Alex,in
185,ORD146,"2024-02-13 13:48:00",It024,1,Chris,out
186,ORD147,"2024-02-13 13:55:00",It017,1,Jordan,in
187,ORD147,"2024-02-13 13:55:00",It021,1,Jordan," "
188,ORD148,"2024-02-13 14:03:00",It006,1,Morgan,out
189,ORD149,"2024-02-13 14:10:00",It023,1,Taylor,in
190,ORD150,"2024-02-13 14:30:00",It002,1,Jordan,out
191,ORD151,"2024-02-13 14:50:00",It018,1,Chris,in
192,ORD152,"2024-02-13 15:10:00",It005,1,Alex,out
193,ORD153,"2024-02-13 15:30:00",It027,1,Morgan,in
194,ORD154,"2024-02-13 15:50:00",It011,1,Taylor,out
195,ORD155,"2024-02-13 16:09:00",It004,1,Casey,in
196,ORD155,"2024-02-13 16:09:00",It028,1,Casey," "
197,ORD156,"2024-02-13 16:29:00",It014,1,Jamie,out
198,ORD157,"2024-02-13 16:49:00",It021,1,Riley,in
199,ORD158,"2024-02-13 17:00:00",It007,1,Cameron,out
200,ORD159,"2024-02-14 07:06:00",It001,1,Elvis,out
201,ORD160,"2024-02-14 07:13:00",It014,1,Jordan,in
202,ORD161,"2024-02-14 07:20:00",It026,1,Chris,out
203,ORD162,"2024-02-14 07:27:00",It008,1,Alex,in
204,ORD162,"2024-02-14 07:27:00",It022,1,Alex," "
205,ORD163,"2024-02-14 07:34:00",It017,1,Morgan,out
206,ORD164,"2024-02-14 07:41:00",It005,1,Taylor,in
207,ORD165,"2024-02-14 07:49:00",It023,1,Casey,out
208,ORD166,"2024-02-14 07:56:00",It011,1,Jamie,in
209,ORD167,"2024-02-14 08:03:00",It019,1,Riley,out
210,ORD168,"2024-02-14 08:10:00",It003,1,Cameron,in
211,ORD169,"2024-02-14 08:17:00",It027,1,Quinn,out
212,ORD170,"2024-02-14 08:24:00",It006,1,Peyton,in
213,ORD171,"2024-02-14 08:31:00",It020,1,Brooke,out
214,ORD172,"2024-02-14 08:38:00",It010,1,Sam,in
215,ORD173,"2024-02-14 08:45:00",It025,1,Pat,out
216,ORD173,"2024-02-14 08:45:00",It007,1,Pat," "
217,ORD174,"2024-02-14 08:53:00",It013,1,Alex,in
218,ORD175,"2024-02-14 09:00:00",It028,1,Jordan,out
219,ORD176,"2024-02-14 09:07:00",It004,1,Chris,in
220,ORD177,"2024-02-14 09:14:00",It016,1,Morgan,out
221,ORD178,"2024-02-14 09:21:00",It024,1,Taylor,in
222,ORD179,"2024-02-14 09:28:00",It012,1,Casey,out
223,ORD180,"2024-02-14 09:35:00",It009,1,Jamie,in
224,ORD181,"2024-02-14 09:42:00",It002,1,Riley,out
225,ORD182,"2024-02-14 09:49:00",It018,1,Cameron,in
226,ORD183,"2024-02-14 09:57:00",It021,1,Quinn,out
227,ORD184,"2024-02-14 10:04:00",It015,1,Brooke,in
228,ORD185,"2024-02-14 10:21:00",It007,1,Sam,out
229,ORD186,"2024-02-14 10:38:00",It028,1,Pat,in
230,ORD187,"2024-02-14 10:55:00",It001,1,Alex,out
231,ORD188,"2024-02-14 11:12:00",It024,1,Jordan,in
232,ORD189,"2024-02-14 11:29:00",It018,1,Chris,out
233,ORD189,"2024-02-14 11:29:00",It022,1,Chris," "
234,ORD190,"2024-02-14 11:46:00",It012,1,Morgan,in
235,ORD191,"2024-02-14 12:03:00",It003,1,Taylor,out
236,ORD192,"2024-02-14 12:10:00",It016,1,Casey,in
237,ORD193,"2024-02-14 12:17:00",It009,1,Jamie,out
238,ORD194,"2024-02-14 12:24:00",It027,1,Riley,in
239,ORD195,"2024-02-14 12:31:00",It005,1,Cameron,out
240,ORD195,"2024-02-14 12:31:00",It011,1,Cameron," "
241,ORD196,"2024-02-14 12:38:00",It014,1,Quinn,in
242,ORD197,"2024-02-14 12:45:00",It020,1,Peyton,out
243,ORD198,"2024-02-14 12:52:00",It006,1,Brooke,in
244,ORD199,"2024-02-14 13:00:00",It022,1,Sam,out
245,ORD200,"2024-02-14 13:08:00",It017,1,Pat,in
246,ORD201,"2024-02-14 13:15:00",It010,1,Alex,out
247,ORD202,"2024-02-14 13:22:00",It024,1,Jordan,in
248,ORD202,"2024-02-14 13:22:00",It008,1,Jordan," "
249,ORD203,"2024-02-14 13:29:00",It001,1,Chris,out
250,ORD204,"2024-02-14 13:36:00",It019,1,Morgan,in
251,ORD205,"2024-02-14 13:43:00",It013,1,Taylor,out
252,ORD206,"2024-02-14 13:50:00",It026,1,Casey,in
253,ORD207,"2024-02-14 13:57:00",It004,1,Jamie,out
254,ORD208,"2024-02-14 14:05:00",It021,1,Riley,in
255,ORD208,"2024-02-14 14:05:00",It002,1,Riley," "
256,ORD209,"2024-02-14 14:12:00",It018,1,Cameron,out
257,ORD210,"2024-02-14 14:19:00",It025,1,Quinn,in
258,ORD211,"2024-02-14 14:26:00",It007,1,Peyton,out
259,ORD212,"2024-02-14 14:33:00",It012,1,Brooke,in
